Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_Koster_VH1_20180418_20190527_MF100,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:55:52.636429+00:00,2021-04-30 21:55:53.610598+00:00,591,117
ARMS_Koster_VH1_20180418_20190527_MF500,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:57:37.993309+00:00,2021-04-30 21:57:38.271166+00:00,249,117
ARMS_Koster_VH1_20180418_20190527_SF40,ARMS_Koster_VH1_20180418_20190527,,2021-04-30 21:59:51.535309+00:00,2021-04-30 21:59:51.789742+00:00,489,117
ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_Koster_VH1_20190527_20200716,,2021-04-30 22:01:11.823505+00:00,2021-04-30 22:01:12.103824+00:00,449,36
ARMS_Koster_VH1_20190527_20200716_SF40,ARMS_Koster_VH1_20190527_20200716,,2021-04-30 22:02:07.084250+00:00,2021-04-30 22:02:07.369587+00:00,75,36
ARMS_Koster_VH1_20190527_20200716_MF500,ARMS_Koster_VH1_20190527_20200716,,2021-05-14 21:55:46.362746+00:00,2021-05-14 21:55:47.332144+00:00,56,36
ARMS_Koster_VH3_20180418_20190527_MF100,ARMS_Koster_VH3_20180418_20190527,,2021-04-30 22:12:17.719387+00:00,2021-04-30 22:12:17.973198+00:00,350,109
ARMS_Koster_VH3_20180418_20190527_MF500,ARMS_Koster_VH3_20180418_20190527,,2021-04-30 22:13:10.643030+00:00,2021-04-30 22:13:10.947605+00:00,144,109
ARMS_Koster_VH3_20190527_20200716_MF100,ARMS_Koster_VH3_20190527_20200716,,2021-04-30 22:15:02.034374+00:00,2021-04-30 22:15:02.378896+00:00,128,31
ARMS_Koster_VH3_20190527_20200716_SF40,ARMS_Koster_VH3_20190527_20200716,,2021-04-30 22:16:11.479031+00:00,2021-04-30 22:16:11.802914+00:00,179,31
ARMS_Koster_VH3_20190527_20200716_MF500,ARMS_Koster_VH3_20190527_20200716,,2021-05-14 22:08:13.505679+00:00,2021-05-14 22:08:13.873553+00:00,91,31
ARMS_Koster_VH2_20190527_20200716_MF100,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:08:43.354872+00:00,2021-04-30 22:08:43.710190+00:00,282,27
ARMS_Koster_VH2_20190527_20200716_MF500,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:09:39.623977+00:00,2021-04-30 22:09:39.919327+00:00,163,27
ARMS_Koster_VH2_20190527_20200716_SF40,ARMS_Koster_VH2_20190527_20200716,,2021-04-30 22:10:56.541852+00:00,2021-04-30 22:10:56.831558+00:00,206,27
Koster_VH2_20180418_20180906_SS100_DMSO,ARMS_Koster_VH2_20180418_20180906,Sediment (100 um) preserved in DMSO,2019-09-06 21:16:24.308476+00:00,2021-04-27 08:10:34.247371+00:00,0,76
